OID_,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,lon,lat
1,Cape Cod Electrical School, ,9 New Venture Drive,South Dennis,2660, ,DENNIS,(508) 760-1983, ,PRI,"< 2-year, Private for-profit",Private Occupational Program,C, ,Electrician,Town: Fringe,No,-70.141716,41.6895447
2,Cape Cod Community College,Main Campus,2240 Iyannough Road,West Barnstable,2668,1599,BARNSTABLE,(508) 362-2131,165194,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;Associate's degree, ,City: Small,No,-70.3367233,41.6922722
3,Rob Roy Academy,Fall River,260 S Main Street,Fall River,2720, ,FALL RIVER,(508) 672-4751,165750,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate;One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,-71.1577301,41.6988716
4,Diman Regional Technical Institute Division of Continuing Education, ,1082 Davol Street,Fall River,2720, ,FALL RIVER,(508) 678-2891,165608,PUB,"< 2-year, Public",Adult Education,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Large,No,-71.1550446,41.7184372
5,Bristol Community College,Fall River,777 Elsbree Street,Fall River,2720, ,FALL RIVER,(508) 678-2811,165033,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.1199493,41.7213631
6,Massachusetts Maritime Academy, ,101 Academy Drive,Buzzards Bay,2532, ,BOURNE,(508) 830-5000,166692,PUB,"4-year, Public",State University,"B, M",Bachelor's degree;Master's degree, ,Suburb: Midsize,Yes,-70.621788,41.7407455
7,Upper Cape Cod Regional Vocational Technical School Practical Nursing Program, ,220 Sandwich Road,Bourne,2532, ,BOURNE,(508) 759-7711,373711,PUB,"< 2-year, Public",Medical Program,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Midsize,No,-70.5787277,41.745266
8,Motoring Technical Training Institute, ,1241 Fall River Avenue,Seekonk,2771, ,SEEKONK,(508) 336-6611,414124,PRI,"< 2-year, Private for-profit",Technical Institute,C,One but less than two years certificate,"Electrician, Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology",Suburb: Large,No,-71.3251114,41.7919159
9,Bristol Community College,Taunton,2 Hamilton Street,Taunton,2780, ,TAUNTON,(774) 357-3767,165033,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.0954285,41.9091492
10,Massasoit Community College,Middleborough Center,49 Union Street,Middleborough,2346, ,MIDDLEBOROUGH,(508) 588-9100,166823,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-70.9123001,41.8923225
11,Rob Roy Academy,Taunton,1 School Street,Taunton,2780, ,TAUNTON,(508) 822-1405,168032,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,-71.0919647,41.9019356
12,Bristol Community College,Attleboro,11 Field Road,Attleboro,2703, ,ATTLEBORO,(508) 226-2484,165033,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.2736893,41.9477997
13,Spa Tech Institute,Plymouth,59 Industrial Park Road,Plymouth,2360, ,PLYMOUTH,(800)262-8530,445656,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate,Aesthetician/Esthetician and Skin Care Specialist,Suburb: Large,No,-70.7044373,41.9584618
14,Wheaton College, ,26 East Main Street,Norton,2766, ,NORTON,(508) 286-7722,168281,PRI,"4-year, Private not-for-profit",Liberal Arts College,B,Bachelor's degree, ,Suburb: Large,Yes,-71.1842499,41.9660835
15,Bridgewater State University, ,131 Summer Street,Bridgewater,2325, ,BRIDGEWATER,(508) 531-1000,165024,PUB,"4-year, Public",State University,"C, B, PBC, M, PMC",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Education,Suburb: Large,Yes,-70.9745026,41.9875069
16,Southeastern Technical Institute, ,250 Foundry Street,South Easton,2375, ,EASTON,(508) 238-1860,167871,PUB,"< 2-year, Public",Technical Institute,C,Less than one year certificate;One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Rural: Fringe,No,-71.0818634,42.0101013
17,Nichols College, ,121 Center Road,Dudley,1571, ,DUDLEY,(508) 213-1560,167260,PRI,"4-year, Private not-for-profit",Liberal Arts College,"A, B, M",Associate's degree;Bachelor's degree;Master's degree,Business Program,Suburb: Large,Yes,-71.9295654,42.0424194
18,Stonehill College, ,320 Washington Street,Easton,2357,100,EASTON,(508) 565-1000,167996,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M",Less than one year certificate;Bachelor's degree;Master's degree, ,Suburb: Large,Yes,-71.0806122,42.0590248
19,Bay Path University, ,588 Longmeadow Street,Longmeadow,1106, ,LONGMEADOW,(413) 565-1000,164632,PRI,"4-year, Private not-for-profit","Women's Liberal Arts College, Coed Graduate School","C, A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice,Business,Suburb: Large,Yes,-72.583374,42.0551262
20,Massasoit Community College,Brockton,1 Massasoit Boulevard,Brockton,2302,3996,BROCKTON,(508) 588-9100,166823,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-70.9902954,42.0756493
21,Dean College, ,99 Main Street,Franklin,2038, ,FRANKLIN,(877) 879-3326,165574,PRI,"4-year, Private not-for-profit",Liberal Arts College,"C, A, B",Less than one year certificate;Associate's degree;Bachelor's degree, ,Suburb: Large,Yes,-71.3978806,42.0856476
22,Bay Path Adult Evening School, ,57 Old Muggett Hill Road,Charlton,1507,1331,CHARLTON,(508) 248-5971,457624,PUB,"< 2-year, Public",Adult Education,C,One but less than two years certificate,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Rural: Fringe,No,-71.956955,42.1338806
23,American International College,Main Campus,1000 State Street,Springfield,1109, ,SPRINGFIELD,(413) 737-7000,164447,PRI,"4-year, Private not-for-profit",Liberal Arts College,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-72.5585938,42.1126709
24,Western New England University, ,1215 Wilbraham Road,Springfield,1119,2684,SPRINGFIELD,(413) 782-3111,168254,PRI,"4-year, Private not-for-profit",Private University,"C, A, B, PBC, M, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-72.520668,42.1161041
25,American International College,Edgewood Gardens,125 Cortland Street,Springfield,1109, ,SPRINGFIELD,(800) 242-3142,164447,PRI,"4-year, Private not-for-profit",Liberal Arts College,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-72.5543289,42.1183205
26,Porter And Chester Institute,Worcester,220 Brooks Street,Worcester,1606,1400,WORCESTER,(508) 304-6500,13017405,PRI,"< 2-year, Private for-profit",Technical Institute,C,One but less than two years certificate, ,City: Midsize,No,-71.7997894,42.3179245
27,Smith College, ,33 Elm Street,Northampton,1063, ,NORTHAMPTON,(413) 585-2700,167835,PRI,"4-year, Private not-for-profit",Women's Liberal Arts College,"B, PBC, M, PMC, D",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship, ,Suburb: Large,Yes,-72.635376,42.3188477
28,Hebrew College, ,160 Herrick Road,Newton Centre,2459, ,NEWTON,(617) 559-8600,166045,PRI,"4-year, Private not-for-profit",Divinity School,"B, PBC, M, PMC",Postbaccalaureate certificate;Master's degree,Jewish Studies,City: Small,No,-71.189209,42.325676
29,Gordon-Conwell Theological Seminary,Boston,90 Warren Street,Roxbury,2119, ,BOSTON,(617) 427-7293,165945,PRI,"4-year, Private not-for-profit",Divinity School,"PBC, M, D",Postbaccalaureate certificate;Master's degree;Doctor's degree,Evangelical Seminary,Suburb: Large,Yes,-71.0827332,42.3276482
30,Roxbury Community College, ,1234 Columbus Avenue,Roxbury Crossing,2120,3400,BOSTON,(617) 427-0060,167631,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,City: Large,No,-71.0955276,42.3292427
31,Hampshire College, ,893 West Street,Amherst,1002, ,AMHERST,(413) 549-4600,166018,PRI,"4-year, Private not-for-profit",Liberal Arts College,B,Bachelor's degree, ,Suburb: Large,Yes,-72.5314713,42.325779
32,Anna Maria College, ,50 Sunset Lane,Paxton,1612,1198,PAXTON,(508) 849-3300,164492,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M, PMC",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate, ,Rural: Fringe,Yes,-71.9189301,42.3305283
